20200122-231853	Key	Action	Acc1	Role1	Lv1	Tong1	Num1	Map1	PosX	PosY	Acc2	Role2	Lv2	Tong2	Num2	Map2	Pos2X	Pos2Y	ItemName	ItemG	ItemD	IitemP	ItemDur	ItemSeed	GenTime	Socket1	Socket2	Socket3	EnhanceTimes	Place	X	Y
20200122-232012	large_str	AddItem[/script/global/playerloginin.lua|main]			0		2471460818	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20200122-232012	ItemAdd	2471460818	an	ioNaruto	1		1	100	1445	2802			0		0	0	0	0	S­ §å ThiÕp	2	1	587	1	1871077159	2020-01-22 23:20:12	1073676288	1073676288	1073676288	0	-1	-1	-1
20200122-232012	ItemAdd	2471460818	an	ioNaruto	1		1	100	1445	2802			0		0	0	0	0	CÈm Nang §¹i Sù KiÖn	2	1	30045	1	122112841	2020-01-22 23:20:12	1073676288	1073676288	1073676288	0	-1	-1	-1
20200122-232012	ItemAdd	2471460818	an	ioNaruto	1		1	100	1445	2802			0		0	0	0	0	NguyÖt L­îng Thè luy	2	0	1043	1	-168605161	2020-01-22 23:20:12	1073676288	1073676288	1073676288	0	-1	-1	-1
20200122-232012	ItemAdd	2471460818	an	ioNaruto	1		1	100	1445	2802			0		0	0	0	0	TiÕu ng¹o giang hå l	2	1	30240	1	1452525860	2020-01-22 23:20:12	1073676288	1073676288	1073676288	0	-1	-1	-1
20200122-232012	large_str	AddItem[/script/misc/observer/observer.lua|NoFunc]			0		207423358	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20200122-232012	ItemAdd	207423358	an	ioNaruto	1		1	100	1445	2802			0		0	0	0	0	GM Item	2	1	30644	1	-1638908690	2020-01-22 23:20:12	1073676288	1073676288	1073676288	0	-1	-1	-1
20200122-232012	large_str	AddItem[/script/global/playerloginin.lua|_never_show_login_message]			0		1866858960	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20200122-232012	ItemAdd	1866858960	an	ioNaruto	1		1	100	1445	2802			0		0	0	0	0	Tñ ¸o Thiªn BiÕn TiÕ	2	1	30494	1	561633543	2020-01-22 23:20:12	1073676288	1073676288	1073676288	0	-1	-1	-1
20200122-232040	large_str	AddItem[/settings/static_script/cheat/gm_item_tifuzhiyin.lua|Get_VPNV1]			0		2455127033	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20200122-232040	ItemAdd	2455127033	an	ioNaruto	799		666	100	1445	2807			0		0	0	0	0	T©y B¾c Väng	1	1	19	666	1681373790	2020-01-22 23:20:40	1073676288	1073676288	1073676288	0	-1	-1	-1
20200122-232040	ItemAdd	2455127033	an	ioNaruto	799		999	100	1445	2807			0		0	0	0	0	B¸nh Bét vµng	1	1	15	999	-190486729	2020-01-22 23:20:40	1073676288	1073676288	1073676288	0	-1	-1	-1
20200122-232040	ItemAdd	2455127033	an	ioNaruto	799		999	100	1445	2807			0		0	0	0	0	B¸nh Bét vµng	1	1	15	999	-476207932	2020-01-22 23:20:40	1073676288	1073676288	1073676288	0	-1	-1	-1
20200122-232040	ItemAdd	2455127033	an	ioNaruto	799		1	100	1445	2807			0		0	0	0	0	B¸nh Bét vµng	1	1	15	1	-1386418802	2020-01-22 23:20:40	1073676288	1073676288	1073676288	0	-1	-1	-1
20200122-232040	ItemAdd	2455127033	an	ioNaruto	799		666	100	1445	2807			0		0	0	0	0	Minh NguyÖt D¹	1	1	17	666	69835380	2020-01-22 23:20:40	1073676288	1073676288	1073676288	0	-1	-1	-1
20200122-232040	ItemAdd	2455127033	an	ioNaruto	799		999	100	1445	2807			0		0	0	0	0	Thiªn th¹ch	2	2	8	999	486552766	2020-01-22 23:20:40	1073676288	1073676288	1073676288	0	-1	-1	-1
20200122-232040	ItemAdd	2455127033	an	ioNaruto	799		999	100	1445	2807			0		0	0	0	0	Thiªn th¹ch	2	2	8	999	-994502377	2020-01-22 23:20:40	1073676288	1073676288	1073676288	0	-1	-1	-1
20200122-232040	ItemAdd	2455127033	an	ioNaruto	799		999	100	1445	2807			0		0	0	0	0	Thiªn th¹ch	2	2	8	999	-1971059676	2020-01-22 23:20:40	1073676288	1073676288	1073676288	0	-1	-1	-1
20200122-232040	ItemAdd	2455127033	an	ioNaruto	799		999	100	1445	2807			0		0	0	0	0	Thiªn th¹ch	2	2	8	999	732205038	2020-01-22 23:20:40	1073676288	1073676288	1073676288	0	-1	-1	-1
20200122-232040	ItemAdd	2455127033	an	ioNaruto	799		3	100	1445	2807			0		0	0	0	0	Thiªn th¹ch	2	2	8	3	-313399289	2020-01-22 23:20:40	1073676288	1073676288	1073676288	0	-1	-1	-1
