route	rank	name	point	zige_point	level	totlewin	totlelose	weekwin	weeklose
2	1	07*TuyetKieuPhong	431	400	97	256	165	8	1
2	2	02*iTuyetKieuPhong	421	385	97	270	167	13	2
2	3	03*1PMrMapLaoDai	413	380	99	353	287	51	43
2	4	07*TLDQuangTeo01	400	355	96	56	19	9	5
2	5	02*ductien1011dx	390	325	99	241	203	34	25
2	6	07*ooMasterYi	382	305	99	164	102	9	0
2	7	10*SkyRunner	325	300	99	166	142	12	8
2	8	04*G4meOver	357	300	96	117	72	6	5
2	9	01*ThÇn§aoC¸ChÐp	319	300	95	59	39	5	4
2	10	66*zTSzSoiStyle1st	343	290	97	127	82	5	4
2	11	22*TuyetKj3uPhong	408	280	96	230	154	47	41
2	12	22*HuyenThoaiTLDNo1	428	280	98	299	218	33	26
2	13	02*ZIiTransformer	373	280	99	104	54	8	5
2	14	15*ZzZo0oXxX	336	280	99	100	78	6	3
2	15	09*1stSpring	357	275	90	130	102	8	6
2	16	25*HLxS2oIoVuaPk	211	275	98	77	70	3	6
2	17	09*ZzzTrauKoPkaiBo	359	270	99	121	91	60	54
2	18	03*DatMaDao	256	270	96	56	49	4	6
2	19	17*ChipSexyboy2	178	270	96	38	62	3	7
2	20	08*TTPGiangNhatLam	367	265	96	621	532	12	8
2	21	08*FAzzThichQuayTay	391	260	93	38	7	9	0
2	22	09*QuyDuHaTien	288	255	99	148	129	19	16
2	23	01*zZ4jZ4jn3v3rCrY	273	250	99	91	91	4	6
2	24	01*ICaChepI	298	250	92	38	32	8	2
2	25	25*NeverBetting	380	250	98	81	40	7	2
2	26	07*Truy3nThuy3tTLD	358	245	96	103	65	6	3
2	27	08*AcQuyCuongDam	329	240	99	86	61	5	4
2	28	09*Jx2iNgoaLong	364	240	95	137	79	7	2
2	29	09*hoangkilong	302	225	99	199	178	5	4
2	30	08*DavidHËu	365	215	99	97	61	7	2
2	31	07*zTBoKimHoµn	369	215	95	46	25	16	12
2	32	17*ColgateMaxFresh	258	200	99	53	47	18	20
2	33	20*DongHiep	289	200	99	89	73	4	5
2	34	15*oOoMaDaoZzZ	317	200	96	146	118	6	6
2	35	23*IzAlejandro	243	200	98	73	70	1	8
2	36	08*TuyetKi3uPhong	425	200	96	197	121	14	8
2	37	11*TµnChÝQu¸i§ao	272	200	95	70	95	8	8
2	38	20*KeHuiDiet	233	190	97	58	55	3	6
2	39	14*o0WaterBuffal0o	291	190	99	33	24	10	6
2	40	04*oTaTon	293	170	98	217	204	59	59
2	41	22*oHoaVinho	345	170	99	130	102	24	9
2	42	03*IzoPigUNu	249	170	96	61	49	5	3
2	43	08*ooRedbull	271	170	98	192	182	34	37
2	44	07*izFilezi	352	165	95	62	36	15	12
2	45	07*IoS¬nTiªnSinhBN	173	165	99	21	29	3	5
2	46	09*SilentLong	329	160	99	60	41	5	4
2	47	08*69XÕpH×nh	378	160	95	52	30	11	5
2	48	08*TheSilentOfLove	350	160	96	113	82	9	7
2	49	02*C«ngAnTh«n	280	160	99	39	30	4	5
2	50	08*KMSuVuong	308	140	99	36	20	7	8
2	51	07*o0oVuaDauBepo0o	372	140	98	71	39	15	12
2	52	08*biebie	334	140	97	90	73	20	18
2	53	09*KP3iiNhatDao	157	140	98	98	100	22	32
2	54	08*izMiroslavKlose	384	135	96	67	38	18	11
2	55	08*DavidHau2828	302	130	99	72	58	4	5
2	56	08*achung	283	130	97	120	103	40	38
2	57	02*iMrChaien	357	100	97	113	74	5	4
2	58	16*xxXxxNhjcKxxXxx	409	100	95	207	147	19	10
2	59	62*oIvLýDiªnT«nGvIo	121	90	96	23	39	0	8
2	60	17*iPaNaDol	251	90	97	67	65	8	1
2	61	66*ZozzzzzNgayMaiz	352	90	92	23	7	14	6
2	62	01*oIiHPxKhiCoEm	319	90	95	24	12	6	6
2	63	07*ZHarryPotter	291	85	98	68	53	8	9
2	64	02*oTuyetKjeuPhong	390	80	96	169	108	20	14
2	65	23*ixSHBzNgaoOp	328	80	99	42	29	17	15
2	66	02*zHanVuongz	331	80	99	124	80	5	5
2	67	02*ixNgaoOp	313	80	98	24	14	11	8
2	68	01*§ÖNhÊt§ao	286	80	90	14	5	5	4
2	69	16*xxRayleighxx	383	75	99	356	292	16	13
2	70	01*iSingleManzz	270	75	99	22	13	8	4
2	71	07*x§AOPHñx	352	70	94	46	26	10	6
2	72	07*oOoBDKuTaioOo	333	60	91	50	34	13	9
2	73	68*GzTuKy	360	60	96	71	38	14	9
2	74	07*TenoScorpioHero	257	55	99	51	46	6	5
2	75	35*iiiiiiHoLy	358	55	97	133	67	7	4
2	76	14*TruyenCong5	193	0	96	11	10	11	10
2	77	02*CËuBÐB¸nH0a	252	0	99	7	2	7	2
2	78	25*YuongAlistar	316	0	92	21	6	9	6
2	79	07*AcQuyCuongDao	301	0	99	62	45	6	3
2	80	43*oOThangBOzz	318	0	99	68	48	5	4
2	81	15*IxS2xINhøcN¸ch	266	0	98	74	64	6	5
2	82	32*xTayMonDaiKax	189	0	97	107	107	3	6
2	83	14*§éngVËtQuýHiÕm	303	0	97	55	45	19	17
2	84	17*oSJJoSuperBear	310	0	99	37	22	5	4
2	85	50*¢uD­¬ngTiªnSinh	357	0	96	84	46	6	3
2	86	70*nhovaem	289	0	96	100	89	3	6
2	87	06*ZoHoaV«KhuyÕtoZ	229	0	99	59	62	6	13
2	88	11*s2oPhi§ao	240	0	92	25	22	4	5
2	89	24*ZoZNghiaHeRoZoZ	268	0	97	63	59	4	5
2	90	43*ChemGiokr	342	0	95	79	56	8	8
2	91	62*GiangHoTjeuTu	239	0	98	40	33	5	6
2	92	07*zIS2IzCrazyPanda	197	0	93	23	31	2	7
2	93	25*1sMaDaoLaTo	276	0	98	16	9	16	9
2	94	39*o0KjmTheDuy0o	319	0	99	70	53	6	7
2	95	66*1stNhatKiem	253	0	96	7	2	7	2
2	96	01*CaVoi1312	248	0	96	20	15	20	15
2	97	66*zCuToPh¶iBiÕt	229	0	99	9	5	8	5
2	98	03*badaovolam2	201	0	99	7	6	7	6
3	1	22*MrDarkCZ	443	380	98	123	48	9	0
3	2	07*SexxyBaby	433	370	97	83	47	17	8
3	3	22*zS2zKhongCamXucz	405	365	99	189	124	10	5
