ChangeLogFile: FirstWrite=0, CurrentLine=251/65536 LastTime=2024-7-14 12:57:57
20240715-000257<INFO :0xf7396700>: set runtime statistic result path is [runtime_stat_result/2024_07_14/stat_result_ksg_2024_07_14_@SONGLONG_GW.txt]
20240715-000257<WARN :0xf7396700>: [RuntimeDataStatRelay] FlushStat: File=runtime_stat_result/2024_07_14/stat_result_ksg_2024_07_14_@SONGLONG_GW.txt Count=365
20240715-000257<WARN :0xf7396700>: [RuntimeDataStatRelay] FlushStat: File=runtime_stat_result/2024_07_14/stat_result_vng_2024-07-14_@SONGLONG_GW.txt Count=1
20240715-000257<INFO :0xf7396700>: set runtime statistic result path is [runtime_stat_result/2024_07_15/stat_result_ksg_2024_07_15_@SONGLONG_GW.txt]
20240715-000257<INFO :0xf7396700>: [RuntimeStat] ServerName=SONGLONG_GW FlushIntervalSec=300
20240715-000257<WARN :0xf7396700>: [RuntimeDataStatRelay] FlushStat: File=runtime_stat_result/2024_07_15/stat_result_ksg_2024_07_15_@SONGLONG_GW.txt Count=363
20240715-000257<WARN :0xf7396700>: [RuntimeDataStatRelay] FlushStat: File=runtime_stat_result/2024_07_15/stat_result_vng_2024-07-15_@SONGLONG_GW.txt Count=1
20240715-000530<WARN :0xf7396700>: Router NOT connected
20240715-000539<WARN :0xf7396700>: Router NOT connected
20240715-000548<WARN :0xf7396700>: Router NOT connected
20240715-000558<WARN :0xf7396700>: Router NOT connected
20240715-000607<WARN :0xf7396700>: Router NOT connected
20240715-000616<WARN :0xf7396700>: Router NOT connected
20240715-000626<WARN :0xf7396700>: Router NOT connected
20240715-003551<WARN :0xf7396700>: Router NOT connected
20240715-003600<WARN :0xf7396700>: Router NOT connected
20240715-003609<WARN :0xf7396700>: Router NOT connected
20240715-003618<WARN :0xf7396700>: Router NOT connected
20240715-003627<WARN :0xf7396700>: Router NOT connected
20240715-003636<WARN :0xf7396700>: Router NOT connected
20240715-003647<WARN :0xf7396700>: Router NOT connected
20240715-010610<WARN :0xf7396700>: Router NOT connected
20240715-010619<WARN :0xf7396700>: Router NOT connected
20240715-010628<WARN :0xf7396700>: Router NOT connected
20240715-010638<WARN :0xf7396700>: Router NOT connected
20240715-010647<WARN :0xf7396700>: Router NOT connected
20240715-010656<WARN :0xf7396700>: Router NOT connected
20240715-010706<WARN :0xf7396700>: Router NOT connected
20240715-013630<WARN :0xf7396700>: Router NOT connected
20240715-013639<WARN :0xf7396700>: Router NOT connected
20240715-013648<WARN :0xf7396700>: Router NOT connected
20240715-013658<WARN :0xf7396700>: Router NOT connected
20240715-013707<WARN :0xf7396700>: Router NOT connected
20240715-013716<WARN :0xf7396700>: Router NOT connected
20240715-013726<WARN :0xf7396700>: Router NOT connected
20240715-020650<WARN :0xf7396700>: Router NOT connected
20240715-020659<WARN :0xf7396700>: Router NOT connected
20240715-020708<WARN :0xf7396700>: Router NOT connected
20240715-020718<WARN :0xf7396700>: Router NOT connected
20240715-020727<WARN :0xf7396700>: Router NOT connected
20240715-020736<WARN :0xf7396700>: Router NOT connected
20240715-020746<WARN :0xf7396700>: Router NOT connected
20240715-023710<WARN :0xf7396700>: Router NOT connected
20240715-023719<WARN :0xf7396700>: Router NOT connected
20240715-023728<WARN :0xf7396700>: Router NOT connected
20240715-023738<WARN :0xf7396700>: Router NOT connected
20240715-023747<WARN :0xf7396700>: Router NOT connected
20240715-023756<WARN :0xf7396700>: Router NOT connected
20240715-023806<WARN :0xf7396700>: Router NOT connected
20240715-030730<WARN :0xf7396700>: Router NOT connected
20240715-030739<WARN :0xf7396700>: Router NOT connected
20240715-030748<WARN :0xf7396700>: Router NOT connected
20240715-030758<WARN :0xf7396700>: Router NOT connected
20240715-030807<WARN :0xf7396700>: Router NOT connected
20240715-030816<WARN :0xf7396700>: Router NOT connected
20240715-030826<WARN :0xf7396700>: Router NOT connected
20240715-033750<WARN :0xf7396700>: Router NOT connected
20240715-033759<WARN :0xf7396700>: Router NOT connected
20240715-033808<WARN :0xf7396700>: Router NOT connected
20240715-033818<WARN :0xf7396700>: Router NOT connected
20240715-033827<WARN :0xf7396700>: Router NOT connected
20240715-033836<WARN :0xf7396700>: Router NOT connected
20240715-033846<WARN :0xf7396700>: Router NOT connected
20240715-040810<WARN :0xf7396700>: Router NOT connected
20240715-040819<WARN :0xf7396700>: Router NOT connected
20240715-040828<WARN :0xf7396700>: Router NOT connected
20240715-040838<WARN :0xf7396700>: Router NOT connected
20240715-040847<WARN :0xf7396700>: Router NOT connected
20240715-040856<WARN :0xf7396700>: Router NOT connected
20240715-040906<WARN :0xf7396700>: Router NOT connected
20240715-043830<WARN :0xf7396700>: Router NOT connected
20240715-043839<WARN :0xf7396700>: Router NOT connected
20240715-043848<WARN :0xf7396700>: Router NOT connected
20240715-043858<WARN :0xf7396700>: Router NOT connected
20240715-043907<WARN :0xf7396700>: Router NOT connected
20240715-043916<WARN :0xf7396700>: Router NOT connected
20240715-043926<WARN :0xf7396700>: Router NOT connected
20240715-050850<WARN :0xf7396700>: Router NOT connected
20240715-050859<WARN :0xf7396700>: Router NOT connected
20240715-050908<WARN :0xf7396700>: Router NOT connected
20240715-050917<WARN :0xf7396700>: Router NOT connected
20240715-050926<WARN :0xf7396700>: Router NOT connected
20240715-050935<WARN :0xf7396700>: Router NOT connected
20240715-050946<WARN :0xf7396700>: Router NOT connected
20240715-053910<WARN :0xf7396700>: Router NOT connected
20240715-053919<WARN :0xf7396700>: Router NOT connected
20240715-053928<WARN :0xf7396700>: Router NOT connected
20240715-053938<WARN :0xf7396700>: Router NOT connected
20240715-053947<WARN :0xf7396700>: Router NOT connected
20240715-053956<WARN :0xf7396700>: Router NOT connected
20240715-054006<WARN :0xf7396700>: Router NOT connected
20240715-060929<WARN :0xf7396700>: Router NOT connected
20240715-060938<WARN :0xf7396700>: Router NOT connected
20240715-060947<WARN :0xf7396700>: Router NOT connected
20240715-060957<WARN :0xf7396700>: Router NOT connected
20240715-061006<WARN :0xf7396700>: Router NOT connected
20240715-061015<WARN :0xf7396700>: Router NOT connected
20240715-061025<WARN :0xf7396700>: Router NOT connected
20240715-063950<WARN :0xf7396700>: Router NOT connected
20240715-063959<WARN :0xf7396700>: Router NOT connected
20240715-064008<WARN :0xf7396700>: Router NOT connected
20240715-064018<WARN :0xf7396700>: Router NOT connected
20240715-064027<WARN :0xf7396700>: Router NOT connected
20240715-064036<WARN :0xf7396700>: Router NOT connected
20240715-064046<WARN :0xf7396700>: Router NOT connected
20240715-071009<WARN :0xf7396700>: Router NOT connected
20240715-071018<WARN :0xf7396700>: Router NOT connected
20240715-071027<WARN :0xf7396700>: Router NOT connected
20240715-071037<WARN :0xf7396700>: Router NOT connected
20240715-071046<WARN :0xf7396700>: Router NOT connected
20240715-071055<WARN :0xf7396700>: Router NOT connected
20240715-071105<WARN :0xf7396700>: Router NOT connected
20240715-074030<WARN :0xf7396700>: Router NOT connected
20240715-074039<WARN :0xf7396700>: Router NOT connected
20240715-074048<WARN :0xf7396700>: Router NOT connected
20240715-074058<WARN :0xf7396700>: Router NOT connected
20240715-074107<WARN :0xf7396700>: Router NOT connected
20240715-074116<WARN :0xf7396700>: Router NOT connected
20240715-074126<WARN :0xf7396700>: Router NOT connected
20240715-074427<DEBUG:0xf7396700>: [RelationMgr] SomeoneLogin("Jx2iiTieuKanNT")
20240715-074427<DEBUG:0xf7396700>: [RelationMgr] SomeoneLoad("Jx2iiTieuKanNT")
20240715-074427<DEBUG:0xf7396700>: [Relation Database] Load "Jx2iiTieuKanNT"
20240715-074427<WARN :0xf7396700>: Router NOT connected
20240715-074502<DEBUG:0xf7396700>: [RelationMgr] SomeoneLogout("Jx2iiTieuKanNT")
20240715-081049<WARN :0xf7396700>: Router NOT connected
20240715-081058<WARN :0xf7396700>: Router NOT connected
