_remark	LineId	MainName	SubName	MainId	SubId
	1	DiXuanGong	MissionOpenCount	1	1
	2	DiXuanGong	JoinPlayerCount	1	2
	3	DiXuanGong	AllPassPlayerCount	1	3
	4	DiXuanGong	Level80-89PlayerCount	1	4
	5	DiXuanGong	Level90-99PlayerCount	1	5
	6	DiXuanGong	RebornPlayerCount	1	6
	7	DiXuanGong	BackDoorTotalCount	1	7
	8	DiXuanGong	Forward3TotalCount	1	8
	9	DiXuanGong	AllPassTotalCount	1	9
	10	DiXuanGong	EnergyBoxOpenCount	1	10
	11	DiXuanGong	TyHalidomOpenCount	1	11
	12	DiXuanGong	FindblackHandsCount	1	12
	13	DiXuanGong	TianJiaoLing-UseCount	1	13
	14	DiXuanGong	TMGL-OutputCount	1	14
	15	DiXuanGong	PlayerRouteCount	1	15
	16	DiXuanGong	Item3L-OutputCount	1	16
	17	DiXuanGong	Item3X-OutputCount	1	17
	18	DiXuanGong	ItemMYZ-OutputCount	1	18
	19	DiXuanGong	ItemMYC-OutputCount	1	19
Sè lÇn hoµn thµnh s¬ th¸m §Þa HuyÒn Cung	20	DiXuanGong	TaskChuTanFinishCount	1	20
Sè lÇn hoµn thµnh ®¹i ph¸ §Þa HuyÒn Cung	21	DiXuanGong	TaskDaPoFinishCount	1	21
Sè lÇn hoµn thµnh truy hung §Þa HuyÒn Cung	22	DiXuanGong	TaskZhuiXiongFinishCount	1	22
	23	ItemBingJingShi	C2ItemXCount	2	1
	24	ItemBingJingShi	C3ItemXCount	2	2
	25	ItemBingJingShi	C2ItemLCount	2	3
	26	ItemBingJingShi	C3ItemLCount	2	4
TÈy T©m Th¹ch cÊp 4	27	ItemBingJingShi	C4XiXinShiCount	2	5
LuyÖn L« ThiÕt cÊp 4	28	ItemBingJingShi	C3LianTieLuCount	2	6
	29	LingShan	OpenCount	3	1
	30	LingShan	OpenPlayerCount	3	2
	31	LingShan	AllPassPlayerCount	3	3
	32	LingShan	OpenLevel80-89PlayerCount	3	4
	33	LingShan	OpenLevel90-99PlayerCount	3	5
	34	LingShan	OpenRebornPlayerCount	3	6
	35	LingShan	BackDoorTotalCount	3	7
	36	LingShan	First4StagePassCount	3	8
	37	LingShan	AllPassTotalCount	3	9
	38	LingShan	TianJiaoLingConsumeNum	3	10
	39	LingShan	UseJuYiLingForBuffCount	3	11
	40	LingShan	TianGangLingProduceNum	3	12
	41	LingShan	OpenRoutePlayerCount	3	13
	42	LingShan	PassRoutePlayerCount	3	14
Sè lÇn hoµn thµnh s¬ diÔn L­¬ng S¬n	43	LingShan	TaskChuYanFinishCount	3	15
Sè lÇn hoµn thµnh trung dòng L­¬ng S¬n	44	LingShan	TaskZhongYongFinishCount	3	16
Sè lÇn hoµn thµnh ®o¹t qu©n L­¬ng S¬n	45	LingShan	TaskDuoJunFinishCount	3	17
	46	WanJianZhong	OpenCount	4	1
	47	WanJianZhong	AllPassTotalCount	4	2
	48	WanJianZhong	OpenPlayerCount	4	3
	49	WanJianZhong	AllPassPlayerCount	4	4
	50	WanJianZhong	OpenLevel80-89PlayerCount	4	5
	51	WanJianZhong	OpenLevel90-99PlayerCount	4	6
	52	WanJianZhong	OpenRebornPlayerCount	4	7
	53	WanJianZhong	FreeCardCount	4	8
	54	WanJianZhong	IBCardCount	4	9
	55	WanJianZhong	TianJiaoLingConsumeNum	4	10
	56	WanJianZhong	GuLingYuProduceNum	4	11
	57	WanJianZhong	SuperBookProduceNum	4	12
	58	WanJianZhong	OpenRoutePlayerCount	4	13
	59	WanJianZhong	PassRoutePlayerCount	4	14
Sè lÇn th«ng quan V¹n KiÕm Tròng	60	WanJianZhong	TaskTongGuan1FishCount	4	15
Sè lÇn hoµn thµnh 1 lÇn lËt bµi V¹n KiÕm Tròng	61	WanJianZhong	TaskTongGuan7FishCount	4	16
Sè lÇn hoµn thµnh th«ng ¶i 7 lÇn V¹n KiÕm Tròng	62	WanJianZhong	TaskFanPai1FishCount	4	17
Sè lÇn hoµn thµnh mçi tuÇn th«ng ¶i 15 lÇn V¹n KiÕm Tròng	63	WanJianZhong	TaskFanPai15FishCount	4	18
	64	TongTianHuanJing	OpenCount	5	1
	65	TongTianHuanJing	StageXPassCount	5	2
	66	TongTianHuanJing	AllPassTotalCount	5	3
	67	TongTianHuanJing	OpenPlayerCount	5	4
	68	TongTianHuanJing	PassStageXPlayerCount	5	5
	69	TongTianHuanJing	AllPassPlayerCount	5	6
	70	TongTianHuanJing	OpenLevel80-89PlayerCount	5	7
	71	TongTianHuanJing	OpenLevel90-99PlayerCount	5	8
	72	TongTianHuanJing	OpenRebornPlayerCount	5	9
	73	TongTianHuanJing	FreeCardCount	5	10
	74	TongTianHuanJing	IBCardCount	5	11
	75	TongTianHuanJing	TongTianLingConsumeNum	5	12
	76	TongTianHuanJing	TianMenJinLingProduceNum	5	13
	77	TongTianHuanJing	TianMenSuiPianProduceNum	5	14
	78	TongTianHuanJing	OpenRoutePlayerCount	5	15
	79	TongTianHuanJing	PassRoutePlayerCount	5	16
	80	ItemUseCount	Level1KnifeStone	6	1
	81	ItemUseCount	Level2KnifeStone	6	2
	82	ItemUseCount	Level3KnifeStone	6	3
	83	TongFeast	RaidDropCjszPig	7	1
	84	TongFeast	RaidDropCjszWine	7	2
	85	TongFeast	RaidDropWjzPig	7	3
	86	TongFeast	RaidDropWjzWine	7	4
	87	TongFeast	RaidDropLsCow	7	5
	88	TongFeast	RaidDropLsWine	7	6
	89	TongFeast	RaidDropDxgCow	7	7
	90	TongFeast	RaidDropDxgWine	7	8
	91	TongFeast	RaidDropTxSheep	7	9
	92	TongFeast	RaidDropTxWine	7	10
	93	TongFeast	RaidDropTtdSheep	7	11
	94	TongFeast	RaidDropTtdWine	7	12
	95	TongFeast	BattleDropKfBacon	7	13
	96	TongFeast	BattleDropKfWine	7	14
	97	TongFeast	BattleDropSlBacon	7	15
	98	TongFeast	BattleDropSlWine	7	16
	99	TongFeast	BattleDropTmzBacon	7	17
	100	TongFeast	BattleDropTmzWine	7	18
	101	TongFeast	TongCountCjsz	7	19
	102	TongFeast	TongCountWjz	7	20
	103	TongFeast	TongCountLs	7	21
	104	TongFeast	TongCountDxg	7	22
	105	TongFeast	TongCountTx	7	23
	106	TongFeast	TongCountTtd	7	24
	107	TongFeast	TotalCountPig	7	25
	108	TongFeast	TotalCountCow	7	26
	109	TongFeast	TotalCountSheep	7	27
	110	TongFeast	TotalCountBacon	7	28
	111	TongFeast	TotalCountTableChair	7	29
	112	TongFeast	TotalCountCooker	7	30
	113	TongFeast	ChefUseTimes18	7	31
	114	TongFeast	ChefUseTimes19	7	32
	115	TongFeast	ChefUseTimes20	7	33
	116	TongFeast	IBShopBoxHZ	7	34
	117	TongFeast	IBShopBoxGY	7	35
	118	TongFeast	IBShopBoxXZ	7	36
	119	TongFeast	IBShopGjBoxHZ	7	37
	120	TongFeast	IBShopGjBoxGY	7	38
	121	TongFeast	IBShopGjBoxXZ	7	39
	122	TongFeast	IBShopBoxUpgrade	7	40
	123	TongFeast	IBShopGjBoxUpgrade	7	41
	124	TongFeast	IBShop3000YinJuan	7	42
	125	TongFeast	IBShopBugaoXie	7	43
	126	TongFeast	IBShopTongJiuZhou	7	44
	127	TongFeast	IBShopTongYaoYang	7	45
	128	TongFeast	IBShopTongMa	7	46
Më mission sè lÇn	129	3V3	3V3TotalOpenTimes	8	1
Tæng sè ®éi ngò	130	3V3	3V3PairTeamCount	8	2
Nh©n sè mçi giai ®o¹n	131	3V3	3V3StagePlayerCount	8	3
Sè lÇn sö dông d­îc phÈm cña m«n ph¸i nµo ®ã	132	3V3	3V3UseDrugPlayerCount	8	4
Tæng nh©n sè tham gia thi ®Êu	133	3V3	3V3JoinPlayerCount	8	5
Tæng nh©n sè th¾ng lîi	134	3V3	3V3WinPlayerCount	8	6
C«ng nh©n c­êng hãa tiªu hao tæng sè vµng	135	IBConsume	XiaoBai QiangHua	9	1
B×nh d©n c­êng hãa tiªu hao tæng sè vµng	136	IBConsume	BaiXing QiangHua	9	2
Ng­êi lµm nghÒ tù do c­êng hãa tiªu hao tæng sè vµng	137	IBConsume	LanLing QiangHua	9	3
Nh©n viªn v¨n phßng c­êng hãa tiªu hao tæng sè vµng	138	IBConsume	BaiLing QiangHua	9	4
TiÓu th­¬ng c­êng hãa tiªu hao tæng sè vµng	139	IBConsume	LittleBoss QiangHua	9	5
Trung th­¬ng c­êng hãa tiªu hao tæng sè vµng	140	IBConsume	MiddleBoss QiangHua	9	6
§¹i th­¬ng c­êng hãa tiªu hao tæng sè vµng	141	IBConsume	BigBoss QiangHua	9	7
C«ng nh©n söa trang bÞ tiªu hao tæng sè vµng	142	IBConsume	XiaoBai  XiuLi	9	8
B×nh d©n söa trang bÞ tiªu hao tæng sè vµng	143	IBConsume	BaiXing XiuLi	9	9
Ng­êi lµm nghÒ tù do söa trang bÞ tiªu hao tæng sè vµng	144	IBConsume	LanLing XiuLi	9	10
Nh©n viªn v¨n phßng söa trang bÞ tiªu hao tæng sè vµng	145	IBConsume	BaiLing XiuLi	9	11
TiÓu th­¬ng söa trang bÞ tiªu hao tæng sè vµng	146	IBConsume	LittleBoss XiuLi	9	12
Trung th­¬ng söa trang bÞ tiªu hao tæng sè vµng	147	IBConsume	MiddleBoss XiuLi	9	13
§¹i th­¬ng söa trang bÞ tiªu hao tæng sè vµng	148	IBConsume	BigBoss XiuLi	9	14
C«ng nh©n söa trang bÞ cao cÊp tiªu hao tæng sè vµng	149	IBConsume	XiaoBai  AdvXiuLi	9	15
B×nh d©n söa trang bÞ cao cÊp tiªu hao tæng sè vµng	150	IBConsume	BaiXing AdvXiuLi	9	16
Ng­êi lµm nghÒ tù do söa trang bÞ cao cÊp tiªu hao tæng sè vµng	151	IBConsume	LanLing AdvXiuLi	9	17
Nh©n viªn v¨n phßng söa trang bÞ cao cÊp tiªu hao tæng sè vµng	152	IBConsume	BaiLing AdvXiuLi	9	18
TiÓu th­¬ng söa trang bÞ cao cÊp tiªu hao tæng sè vµng	153	IBConsume	LittleBoss AdvXiuLi	9	19
Trung th­¬ng söa trang bÞ cao cÊp tiªu hao tæng sè vµng	154	IBConsume	MiddleBoss AdvXiuLi	9	20
§¹i th­¬ng söa trang bÞ cao cÊp tiªu hao tæng sè vµng	155	IBConsume	BigBoss AdvXiuLi	9	21
C«ng nh©n mua ®å tiªu hao tæng sè vµng	156	IBConsume	XiaoBai  BuyStall	9	22
B×nh d©n mua ®å tiªu hao tæng sè vµng	157	IBConsume	BaiXing BuyStall	9	23
Ng­êi lµm nghÒ tù do mua ®å tiªu hao tæng sè vµng	158	IBConsume	LanLing BuyStall	9	24
Nh©n viªn v¨n phßng mua ®å tiªu hao tæng sè vµng	159	IBConsume	BaiLing BuyStall	9	25
TiÓu th­¬ng mua ®å tiªu hao tæng sè vµng	160	IBConsume	LittleBoss BuyStall	9	26
Trung th­¬ng mua ®å tiªu hao tæng sè vµng	161	IBConsume	MiddleBoss BuyStall	9	27
