20190603-134649	ERR!	[playerattr abnormal][Account: test000][RoleName: jx2vltk][Level: 90][Attr: 4,4,2,5,5 - 1 (691)][Task: 0]
20190603-134650	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : test000] [Nh©n vËt: jx2vltk][Tªn vËt phÈm:Bøc th­ thÇn bİ]
20190603-134722	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : test000] [Nh©n vËt: jx2vltk][Tªn vËt phÈm:Linh §å Giíi (tr¸i)]
20190603-134722	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : test000] [Nh©n vËt: jx2vltk][Tªn vËt phÈm:Linh §å Giíi (ph¶i)]
20190603-134722	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : test000] [Nh©n vËt: jx2vltk][Tªn vËt phÈm:Linh §å Thñ]
20190603-134722	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : test000] [Nh©n vËt: jx2vltk][Tªn vËt phÈm:Linh §å Trang (th­¬n]
20190603-134722	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : test000] [Nh©n vËt: jx2vltk][Tªn vËt phÈm:Linh §å Trang (ngo¹i]
20190603-134722	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : test000] [Nh©n vËt: jx2vltk][Tªn vËt phÈm:Linh §å Trang (néi)]
20190603-134722	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : test000] [Nh©n vËt: jx2vltk][Tªn vËt phÈm:Linh §å Y]
20190603-134722	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : test000] [Nh©n vËt: jx2vltk][Tªn vËt phÈm:Linh §å M·o]
20190603-135811	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : test009] [Nh©n vËt: jx2kggjj][Tªn vËt phÈm:S­ §å ThiÕp]
20190603-135811	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : test009] [Nh©n vËt: jx2kggjj][Tªn vËt phÈm:CÈm Nang §¹i Sù KiÖn]
20190603-135811	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : test009] [Nh©n vËt: jx2kggjj][Tªn vËt phÈm:NguyÖt L­îng Thè luy]
20190603-135811	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : test009] [Nh©n vËt: jx2kggjj][Tªn vËt phÈm:TiÕu ng¹o giang hå l]
20190603-135811	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : test009] [Nh©n vËt: jx2kggjj][Tªn vËt phÈm:GM Item]
20190603-135818	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : test009] [Nh©n vËt: jx2kggjj][Tªn vËt phÈm:Tñ ¸o Thiªn BiÕn TiÕ]
20190603-135858	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : test004] [Nh©n vËt: 342342][Tªn vËt phÈm:S­ §å ThiÕp]
20190603-135858	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : test004] [Nh©n vËt: 342342][Tªn vËt phÈm:CÈm Nang §¹i Sù KiÖn]
20190603-135858	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : test004] [Nh©n vËt: 342342][Tªn vËt phÈm:NguyÖt L­îng Thè luy]
20190603-135858	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : test004] [Nh©n vËt: 342342][Tªn vËt phÈm:TiÕu ng¹o giang hå l]
20190603-135858	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : test004] [Nh©n vËt: 342342][Tªn vËt phÈm:GM Item]
