20200209-000228	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:GM Item]
20200209-000242	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:TiÒm Long Tóc DiÖt C]
20200209-000242	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:TiÒm Long TŞch DiÖt ]
20200209-000242	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:L¨ng Ba Vi Bé toµn t]
20200209-000242	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:MËt TŞch Tiªu Dao]
20200209-000840	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:CÈm Nang §¹i Sù KiÖn]
20200209-000840	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:NguyÖt L­îng Thè luy]
20200209-000840	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:TiÕu ng¹o giang hå l]
20200209-000840	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Bøc th­ thÇn bİ]
20200209-001040	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:ThiÕu L©m lÖnh bµi]
20200209-001100	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:GM Item]
20200209-001159	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:H­íng dÉn chiÕn tr­ê]
20200209-001219	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:TiÒm Long Tóc DiÖt C]
20200209-001219	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:TiÒm Long TŞch DiÖt ]
20200209-001219	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:L¨ng Ba Vi Bé toµn t]
20200209-001219	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:MËt TŞch Tiªu Dao]
20200209-001230	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:ThÊt B¶o ChiÕu quyÕt]
20200209-001230	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:La H¸n QuyÒn quyÕt]
20200209-001230	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Ca DiÖp Thèi quyÕt]
20200209-001230	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:HuÖ Nh·n quyÕt]
20200209-001230	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Vi §µ quyÕt]
20200209-001230	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:V¨n V©n quyÕt]
20200209-001230	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:La H¸n TrËn quyÕt]
20200209-001230	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:§¹i Tu Di Ch­ëng]
20200209-001230	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:V« ¶nh quyÕt]
20200209-001230	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Long Tr¶o Thñ quyÕt]
20200209-001946	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:ThŞt Nguéi]
20200209-002111	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Kinh M¹ch §ång Nh©n]
20200209-002142	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Kinh M¹ch Ng©n Nh©n]
