20200209-002633	INFO	[®Æt vËt phÈm vµo r­¬ng] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:CÈm Nang §¹i Sù KiÖn]
20200209-002651	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:GM Item]
20200209-002653	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Hu©n ch­¬ng anh hïng]
20200209-002653	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:NguyÖt L­îng Thè]
20200209-002722	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Khëi Ph­îng Ngoa]
20200209-002722	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Khëi Ph­îng Ch­¬ng]
20200209-002722	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Khëi Ph­îng Phi Phon]
20200209-002809	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:V« Song ChiÕn ThÇn K]
20200209-002809	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:V« Song ChiÕn ThÇn T]
20200209-002809	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:V« Song ChiÕn ThÇn G]
20200209-002824	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Th«ng Thiªn Qu¸n]
20200209-002824	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Th«ng Thiªn Trang]
20200209-002824	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Th«ng Thiªn Bµo]
20200209-002824	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Th«ng Thiªn T¶ Giíi]
20200209-002824	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Th«ng Thiªn H÷u Giíi]
20200209-002824	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Th«ng Thiªn Béi]
20200209-002824	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Th«ng Thiªn Trôy]
20200209-002824	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Th«ng Thiªn Thñ]
20200209-002902	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:NhÉn V« Cùc]
20200209-002902	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Minh Tinh Chi Giíi]
20200209-002902	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:NhÉn V« Cùc]
20200209-002902	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Minh Tinh Chi Giíi]
20200209-003114	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:NhÉn V« Cùc]
20200209-003114	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Minh Tinh Chi Giíi]
20200209-003114	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:NhÉn V« Cùc]
20200209-003114	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Minh Tinh Chi Giíi]
20200209-003141	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:NhÉn V« Cùc]
20200209-003327	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:NhÉn V« Cùc]
20200209-003415	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:NhÉn V« Cùc]
20200209-003415	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Minh Tinh Chi Giíi]
20200209-003415	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:NhÉn V« Cùc]
20200209-003415	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Minh Tinh Chi Giíi]
20200209-003827	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:NhÉn V« Cùc]
20200209-003834	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:NhÉn V« Cùc]
20200209-003855	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:GM Item]
20200209-003900	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:¢m Hån Kim §Çu]
20200209-003900	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:¢m Hån Kim Gi¸p]
20200209-003900	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:¢m Hån Kim Khè]
20200209-003900	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:¢m Hån Kim §Çu]
20200209-003900	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:¢m Hån Kim Gi¸p]
20200209-003900	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:¢m Hån Kim Khè]
20200209-003944	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:NhÉn V« Cùc]
