20191228-072821	Key	Action	Acc1	Role1	Lv1	Tong1	Num1	Map1	PosX	PosY	Acc2	Role2	Lv2	Tong2	Num2	Map2	Pos2X	Pos2Y	ItemName	ItemG	ItemD	IitemP	ItemDur	ItemSeed	GenTime	Socket1	Socket2	Socket3	EnhanceTimes	Place	X	Y
20191228-075006	large_str	AddItem[/script/global/playerloginin.lua|main]			0		2471460818	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20191228-075006	ItemAdd	2471460818	jiqinghk	JiaXQing	1		1	200	1185	2828			0		0	0	0	0	S­ §å ThiÕp	2	1	587	1	285521085	2019-12-28 07:50:06	1073676288	1073676288	1073676288	0	-1	-1	-1
20191228-075006	ItemAdd	2471460818	jiqinghk	JiaXQing	1		1	200	1185	2828			0		0	0	0	0	CÈm Nang §¹i Sù KiÖn	2	1	30045	1	-1241814864	2019-12-28 07:50:06	1073676288	1073676288	1073676288	0	-1	-1	-1
20191228-075006	ItemAdd	2471460818	jiqinghk	JiaXQing	1		1	200	1185	2828			0		0	0	0	0	NguyÖt L­îng Thè luy	2	0	1043	1	674788909	2019-12-28 07:50:06	1073676288	1073676288	1073676288	0	-1	-1	-1
20191228-075006	ItemAdd	2471460818	jiqinghk	JiaXQing	1		1	200	1185	2828			0		0	0	0	0	TiÕu ng¹o giang hå l	2	1	30240	1	1127213823	2019-12-28 07:50:06	1073676288	1073676288	1073676288	0	-1	-1	-1
20191228-075006	large_str	AddItem[/script/misc/observer/observer.lua|NoFunc]			0		207423358	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20191228-075006	ItemAdd	207423358	jiqinghk	JiaXQing	1		1	200	1185	2828			0		0	0	0	0	GM Item	2	1	30644	1	-416823327	2019-12-28 07:50:06	1073676288	1073676288	1073676288	0	-1	-1	-1
20191228-075010	large_str	AddItem[/script/global/playerloginin.lua|_never_show_login_message]			0		1866858960	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20191228-075010	ItemAdd	1866858960	jiqinghk	JiaXQing	1		1	200	1185	2828			0		0	0	0	0	Tñ ¸o Thiªn BiÕn TiÕ	2	1	30494	1	-1661109933	2019-12-28 07:50:10	1073676288	1073676288	1073676288	0	-1	-1	-1
20191228-075118	ItemAdd	2471460818	jiqinghk	JiaXQing	690		1	200	1179	2835			0		0	0	0	0	Bøc th­ thÇn bÝ	2	0	30052	1	474295014	2019-12-28 07:51:18	1073676288	1073676288	1073676288	0	-1	-1	-1
