ItemIndex	BodyType	GroupName	GDP	SellType	SellPrices	PopPrice	GiftPrice	Not4Sale	Charm
1	1	Thiªn ¢m Trang	0;108;562	7	300;900;2700	4			15
1	2		0;108;563	7	300;900;2700	4			15
1	3		0;108;564	7	300;900;2700	4			15
1	4		0;108;565	7	300;900;2700	4			15
2	1		0;109;562	7	300;900;2700	4			15
2	2		0;109;563	7	300;900;2700	4			15
2	3		0;109;564	7	300;900;2700	4			15
2	4		0;109;565	7	300;900;2700	4			15
3	1		0;110;562	7	300;900;2700	4			15
3	2		0;110;563	7	300;900;2700	4			15
3	3		0;110;564	7	300;900;2700	4			15
3	4		0;110;565	7	300;900;2700	4			15
4	1	ThiÓu D­¬ng phôc	0;108;566	7	300;900;2700	4			15
4	2		0;108;567	7	300;900;2700	4			15
4	3		0;108;568	7	300;900;2700	4			15
4	4		0;108;569	7	300;900;2700	4			15
5	1		0;109;566	7	300;900;2700	4			15
5	2		0;109;567	7	300;900;2700	4			15
5	3		0;109;568	7	300;900;2700	4			15
5	4		0;109;569	7	300;900;2700	4			15
6	1		0;110;566	7	300;900;2700	4			15
6	2		0;110;567	7	300;900;2700	4			15
6	3		0;110;568	7	300;900;2700	4			15
6	4		0;110;569	7	300;900;2700	4			15
7	1	V¨n Sö Trang	0;108;570	7	300;900;2700	4			15
7	2		0;108;571	7	300;900;2700	4			15
7	3		0;108;572	7	300;900;2700	4			15
7	4		0;108;573	7	300;900;2700	4			15
8	1		0;109;570	7	300;900;2700	4			15
8	2		0;109;571	7	300;900;2700	4			15
8	3		0;109;572	7	300;900;2700	4			15
8	4		0;109;573	7	300;900;2700	4			15
9	1		0;110;570	7	300;900;2700	4			15
9	2		0;110;571	7	300;900;2700	4			15
9	3		0;110;572	7	300;900;2700	4			15
9	4		0;110;573	7	300;900;2700	4			15
10	1	Tø Linh Trang (vµng)	0;108;30001	7	300;900;2700	4			15
10	2		0;108;30002	7	300;900;2700	4			15
10	3		0;108;30003	7	300;900;2700	4			15
10	4		0;108;30004	7	300;900;2700	4			15
11	1		0;109;30001	7	300;900;2700	4			15
11	2		0;109;30002	7	300;900;2700	4			15
11	3		0;109;30003	7	300;900;2700	4			15
11	4		0;109;30004	7	300;900;2700	4			15
12	1		0;110;30001	7	300;900;2700	4			15
12	2		0;110;30002	7	300;900;2700	4			15
12	3		0;110;30003	7	300;900;2700	4			15
12	4		0;110;30004	7	300;900;2700	4			15
13	1	Tø Linh Trang (TÝm)	0;108;30005	7	300;900;2700	4			15
13	2		0;108;30006	7	300;900;2700	4			15
13	3		0;108;30007	7	300;900;2700	4			15
13	4		0;108;30008	7	300;900;2700	4			15
14	1		0;109;30005	7	300;900;2700	4			15
14	2		0;109;30006	7	300;900;2700	4			15
14	3		0;109;30007	7	300;900;2700	4			15
14	4		0;109;30008	7	300;900;2700	4			15
15	1		0;110;30005	7	300;900;2700	4			15
15	2		0;110;30006	7	300;900;2700	4			15
15	3		0;110;30007	7	300;900;2700	4			15
15	4		0;110;30008	7	300;900;2700	4			15
16	1	Tø Linh Trang (lam)	0;108;30009	7	300;900;2700	4			15
16	2		0;108;30010	7	300;900;2700	4			15
16	3		0;108;30011	7	300;900;2700	4			15
16	4		0;108;30012	7	300;900;2700	4			15
17	1		0;109;30009	7	300;900;2700	4			15
17	2		0;109;30010	7	300;900;2700	4			15
17	3		0;109;30011	7	300;900;2700	4			15
17	4		0;109;30012	7	300;900;2700	4			15
18	1		0;110;30009	7	300;900;2700	4			15
18	2		0;110;30010	7	300;900;2700	4			15
18	3		0;110;30011	7	300;900;2700	4			15
18	4		0;110;30012	7	300;900;2700	4			15
19	1	B¹ch Kim Trang	0;108;30013	7	300;900;2700	4			15
19	2		0;108;30014	7	300;900;2700	4			15
19	3		0;108;30015	7	300;900;2700	4			15
19	4		0;108;30016	7	300;900;2700	4			15
20	1		0;109;30013	7	300;900;2700	4			15
20	2		0;109;30014	7	300;900;2700	4			15
20	3		0;109;30015	7	300;900;2700	4			15
20	4		0;109;30016	7	300;900;2700	4			15
21	1		0;110;30013	7	300;900;2700	4			15
21	2		0;110;30014	7	300;900;2700	4			15
21	3		0;110;30015	7	300;900;2700	4			15
21	4		0;110;30016	7	300;900;2700	4			15
22	1	Tinh Kh¾c Trang	0;108;30017	7	300;900;2700	4			15
22	2		0;108;30018	7	300;900;2700	4			15
22	3		0;108;30019	7	300;900;2700	4			15
22	4		0;108;30020	7	300;900;2700	4			15
23	1		0;109;30017	7	300;900;2700	4			15
23	2		0;109;30018	7	300;900;2700	4			15
23	3		0;109;30019	7	300;900;2700	4			15
23	4		0;109;30020	7	300;900;2700	4			15
24	1		0;110;30017	7	300;900;2700	4			15
24	2		0;110;30018	7	300;900;2700	4			15
24	3		0;110;30019	7	300;900;2700	4			15
24	4		0;110;30020	7	300;900;2700	4			15
25	1	Thiªn NghÜa Trang	0;108;30021	7	300;900;2700	4			15
25	2		0;108;30022	7	300;900;2700	4			15
25	3		0;108;30023	7	300;900;2700	4			15
25	4		0;108;30024	7	300;900;2700	4			15
26	1		0;109;30021	7	300;900;2700	4			15
26	2		0;109;30022	7	300;900;2700	4			15
26	3		0;109;30023	7	300;900;2700	4			15
26	4		0;109;30024	7	300;900;2700	4			15
27	1		0;110;30021	7	300;900;2700	4			15
27	2		0;110;30022	7	300;900;2700	4			15
27	3		0;110;30023	7	300;900;2700	4			15
27	4		0;110;30024	7	300;900;2700	4			15
28	1	Cöu Ch©u Trang	0;108;30025	7	300;900;2700	4			15
28	2		0;108;30026	7	300;900;2700	4			15
28	3		0;108;30027	7	300;900;2700	4			15
28	4		0;108;30028	7	300;900;2700	4			15
29	1		0;109;30025	7	300;900;2700	4			15
29	2		0;109;30026	7	300;900;2700	4			15
29	3		0;109;30027	7	300;900;2700	4			15
29	4		0;109;30028	7	300;900;2700	4			15
30	1		0;110;30025	7	300;900;2700	4			15
30	2		0;110;30026	7	300;900;2700	4			15
30	3		0;110;30027	7	300;900;2700	4			15
30	4		0;110;30028	7	300;900;2700	4			15
31	1	ThÊt TÞch Trang	0;108;30029	7	300;900;2700	4			15
31	2		0;108;30030	7	300;900;2700	4			15
31	3		0;108;30031	7	300;900;2700	4			15
31	4		0;108;30032	7	300;900;2700	4			15
32	1		0;109;30029	7	300;900;2700	4			15
32	2		0;109;30030	7	300;900;2700	4			15
32	3		0;109;30031	7	300;900;2700	4			15
32	4		0;109;30032	7	300;900;2700	4			15
33	1		0;110;30029	7	300;900;2700	4			15
33	2		0;110;30030	7	300;900;2700	4			15
33	3		0;110;30031	7	300;900;2700	4			15
33	4		0;110;30032	7	300;900;2700	4			15
34	1	Hång S©m trang	0;108;630	7	300;900;2700	4			15
34	2		0;108;631	7	300;900;2700	4			15
34	3		0;108;632	7	300;900;2700	4			15
34	4		0;108;633	7	300;900;2700	4			15
35	1		0;109;630	7	300;900;2700	4			15
35	2		0;109;631	7	300;900;2700	4			15
35	3		0;109;632	7	300;900;2700	4			15
35	4		0;109;633	7	300;900;2700	4			15
36	1		0;110;630	7	300;900;2700	4			15
36	2		0;110;631	7	300;900;2700	4			15
36	3		0;110;632	7	300;900;2700	4			15
36	4		0;110;633	7	300;900;2700	4			15
37	1	ChØ Tóy Kim Mª trang 	0;108;618	7	300;900;2700	4			15
37	2		0;108;619	7	300;900;2700	4			15
37	3		0;108;620	7	300;900;2700	4			15
37	4		0;108;621	7	300;900;2700	4			15
38	1		0;109;618	7	300;900;2700	4			15
38	2		0;109;619	7	300;900;2700	4			15
38	3		0;109;620	7	300;900;2700	4			15
38	4		0;109;621	7	300;900;2700	4			15
39	1		0;110;618	7	300;900;2700	4			15
39	2		0;110;619	7	300;900;2700	4			15
39	3		0;110;620	7	300;900;2700	4			15
39	4		0;110;621	7	300;900;2700	4			15
40	1	Thiªn Ba Trang	0;108;676	7	300;900;2700	4			15
40	2		0;108;677	7	300;900;2700	4			15
40	3		0;108;678	7	300;900;2700	4			15
40	4		0;108;679	7	300;900;2700	4			15
41	1		0;109;676	7	300;900;2700	4			15
41	2		0;109;677	7	300;900;2700	4			15
41	3		0;109;678	7	300;900;2700	4			15
41	4		0;109;679	7	300;900;2700	4			15
42	1		0;110;676	7	300;900;2700	4			15
42	2		0;110;677	7	300;900;2700	4			15
42	3		0;110;678	7	300;900;2700	4			15
42	4		0;110;679	7	300;900;2700	4			15
43	1	T©n Niªn Trang	0;108;30033	7	300;900;2700	4			15
43	2		0;108;30034	7	300;900;2700	4			15
43	3		0;108;30035	7	300;900;2700	4			15
43	4		0;108;30036	7	300;900;2700	4			15
44	1		0;109;30033	7	300;900;2700	4			15
44	2		0;109;30034	7	300;900;2700	4			15
44	3		0;109;30035	7	300;900;2700	4			15
44	4		0;109;30036	7	300;900;2700	4			15
45	1		0;110;30033	7	300;900;2700	4			15
45	2		0;110;30034	7	300;900;2700	4			15
45	3		0;110;30035	7	300;900;2700	4			15
45	4		0;110;30036	7	300;900;2700	4			15
46	1	ChuyÓn Sinh Y	0;108;514	7	300;900;2700	4			15
47	1		0;109;514	7	300;900;2700	4			15
48	1		0;110;514	7	300;900;2700	4			15
46	2	ChuyÓn Sinh Y	0;108;515	7	300;900;2700	4			15
47	2		0;109;515	7	300;900;2700	4			15
48	2		0;110;515	7	300;900;2700	4			15
46	3	ChuyÓn Sinh Y	0;108;516	7	300;900;2700	4			15
47	3		0;109;516	7	300;900;2700	4			15
48	3		0;110;516	7	300;900;2700	4			15
46	4	ChuyÓn Sinh Y	0;108;517	7	300;900;2700	4			15
47	4		0;109;517	7	300;900;2700	4			15
48	4		0;110;517	7	300;900;2700	4			15
49	3	Linh Lung Trang (®á)	0;108;207	7	200;600;1800	4			10
49	4		0;108;213	7	200;600;1800	4			10
50	3		0;109;281	7	200;600;1800	4			10
50	4		0;109;287	7	200;600;1800	4			10
51	3		0;110;281	7	200;600;1800	4			10
51	4		0;110;287	7	200;600;1800	4			10
52	3	Linh Lung Trang (vµng)	0;108;208	7	200;600;1800	4			10
52	4		0;108;214	7	200;600;1800	4			10
53	3		0;109;282	7	200;600;1800	4			10
53	4		0;109;288	7	200;600;1800	4			10
54	3		0;110;282	7	200;600;1800	4			10
54	4		0;110;288	7	200;600;1800	4			10
55	3	Linh Lung Trang (hång)	0;108;209	7	200;600;1800	4			10
55	4		0;108;215	7	200;600;1800	4			10
56	3		0;109;283	7	200;600;1800	4			10
56	4		0;109;289	7	200;600;1800	4			10
57	3		0;110;283	7	200;600;1800	4			10
57	4		0;110;289	7	200;600;1800	4			10
58	3	Linh Lung Trang (tÝm)	0;108;210	7	200;600;1800	4			10
58	4		0;108;216	7	200;600;1800	4			10
59	3		0;109;284	7	200;600;1800	4			10
59	4		0;109;290	7	200;600;1800	4			10
60	3		0;110;284	7	200;600;1800	4			10
60	4		0;110;290	7	200;600;1800	4			10
61	3	Linh Lung Trang (lam)	0;108;211	7	200;600;1800	4			10
61	4		0;108;217	7	200;600;1800	4			10
62	3		0;109;285	7	200;600;1800	4			10
62	4		0;109;291	7	200;600;1800	4			10
63	3		0;110;285	7	200;600;1800	4			10
63	4		0;110;291	7	200;600;1800	4			10
64	3	Linh Lung Trang (lôc)	0;108;212	7	200;600;1800	4			10
64	4		0;108;218	7	200;600;1800	4			10
65	3		0;109;286	7	200;600;1800	4			10
65	4		0;109;292	7	200;600;1800	4			10
66	3		0;110;286	7	200;600;1800	4			10
66	4		0;110;292	7	200;600;1800	4			10
67	1	TuÕ Thñ bµo	0;108;139	7	200;600;1800	4			10
68	1		0;109;185	7	200;600;1800	4			10
69	1		0;110;81	7	200;600;1800	4			10
67	2	ChÝnh Sãc gi¸p	0;108;140	7	200;600;1800	4			10
68	2		0;109;186	7	200;600;1800	4			10
69	2		0;110;82	7	200;600;1800	4			10
67	3	T©n ChÝnh §¹i	0;108;141	7	200;600;1800	4			10
68	3		0;109;187	7	200;600;1800	4			10
69	3		0;110;83	7	200;600;1800	4			10
67	4	Nguyªn ChÝnh th­êng	0;108;142	7	200;600;1800	4			10
68	4		0;109;188	7	200;600;1800	4			10
69	4		0;110;84	7	200;600;1800	4			10
70	1	Thu Thi bµo	0;108;195	7	200;600;1800	4			10
71	1		0;109;255	7	200;600;1800	4			10
72	1		0;110;85	7	200;600;1800	4			10
70	2	§«ng Hµn gi¸p	0;108;196	7	200;600;1800	4			10
71	2		0;109;256	7	200;600;1800	4			10
72	2		0;110;86	7	200;600;1800	4			10
70	3	H¹ Vinh trang	0;108;197	7	200;600;1800	4			10
71	3		0;109;257	7	200;600;1800	4			10
72	3		0;110;87	7	200;600;1800	4			10
70	4	Xu©n No·n th­êng	0;108;198	7	200;600;1800	4			10
71	4		0;109;258	7	200;600;1800	4			10
72	4		0;110;88	7	200;600;1800	4			10
73	1	Bµo §­êng B¶o Y	0;108;510	7	200;600;1800	4			10
74	1		0;109;510	7	200;600;1800	4			10
75	1		0;110;510	7	200;600;1800	4			10
73	2	B¶o Tiªu ChiÕn Y	0;108;511	7	200;600;1800	4			10
74	2		0;109;511	7	200;600;1800	4			10
75	2		0;110;511	7	200;600;1800	4			10
73	3	Vò §iÖp Tó Trang	0;108;513	7	200;600;1800	4			10
74	3		0;109;513	7	200;600;1800	4			10
75	3		0;110;513	7	200;600;1800	4			10
73	4	Hµm Yªn Tó Trang	0;108;512	7	200;600;1800	4			10
74	4		0;109;512	7	200;600;1800	4			10
75	4		0;110;512	7	200;600;1800	4			10
76	1	Tè Ng©n Bµo	0;108;526	7	200;600;1800	4			10
77	1		0;109;526	7	200;600;1800	4			10
78	1		0;110;526	7	200;600;1800	4			10
76	2	XÝch LuyÖn Gi¸p Y	0;108;527	7	200;600;1800	4			10
77	2		0;109;527	7	200;600;1800	4			10
78	2		0;110;527	7	200;600;1800	4			10
76	3	Ngäc Thoa Vò Y	0;108;528	7	200;600;1800	4			10
77	3		0;109;528	7	200;600;1800	4			10
78	3		0;110;528	7	200;600;1800	4			10
76	4	§¹i Yªn Nghª Th­êng	0;108;529	7	200;600;1800	4			10
77	4		0;109;529	7	200;600;1800	4			10
78	4		0;110;529	7	200;600;1800	4			10
79	1	Gi¸ng Tö Bµo	0;108;522	7	200;600;1800	4			10
80	1		0;109;522	7	200;600;1800	4			10
81	1		0;110;522	7	200;600;1800	4			10
79	2	L­u Kim Gi¸p Y	0;108;523	7	200;600;1800	4			10
80	2		0;109;523	7	200;600;1800	4			10
81	2		0;110;523	7	200;600;1800	4			10
79	3	Song §¹i Vò Th­êng.	0;108;524	7	200;600;1800	4			10
80	3		0;109;524	7	200;600;1800	4			10
81	3		0;110;524	7	200;600;1800	4			10
79	4	Phông Vò Nghª Sa	0;108;525	7	200;600;1800	4			10
80	4		0;109;525	7	200;600;1800	4			10
81	4		0;110;525	7	200;600;1800	4			10
82	1	ThÊt ThÇn Y	0;108;518	7	200;600;1800	4			10
83	1		0;109;518	7	200;600;1800	4			10
84	1		0;110;518	7	200;600;1800	4			10
82	2	Long L©n ¤ Kim Gi¸p	0;108;519	7	200;600;1800	4			10
83	2		0;109;519	7	200;600;1800	4			10
84	2		0;110;519	7	200;600;1800	4			10
82	3	Lôc Oanh Vò Y	0;108;520	7	200;600;1800	4			10
83	3		0;109;520	7	200;600;1800	4			10
84	3		0;110;520	7	200;600;1800	4			10
82	4	Doanh Vò Th­êng	0;108;521	7	200;600;1800	4			10
83	4		0;109;521	7	200;600;1800	4			10
84	4		0;110;521	7	200;600;1800	4			10
85	1	KiÕm TuyÖt y	0;108;135	7	200;600;1800	4			10
86	1		0;109;181	7	200;600;1800	4			10
87	1		0;110;77	7	200;600;1800	4			10
85	2	HiÖp KhiÕu gi¸p	0;108;136	7	200;600;1800	4			10
86	2		0;109;182	7	200;600;1800	4			10
87	2		0;110;78	7	200;600;1800	4			10
85	3	T×nh Hinh Th­êng	0;108;137	7	200;600;1800	4			10
86	3		0;109;183	7	200;600;1800	4			10
87	3		0;110;79	7	200;600;1800	4			10
85	4	Duyªn Doanh Th­êng	0;108;138	7	200;600;1800	4			10
86	4		0;109;184	7	200;600;1800	4			10
87	4		0;110;80	7	200;600;1800	4			10
