route	rank	name	point	zige_point	level	totlewin	totlelose	weekwin	weeklose
2	1	07*ooMasterYi	407	200	99	87	54	12	6
2	2	03*oTuyetVanPhong	406	190	96	123	73	31	25
2	3	09*Jx2iNgoaLong	391	185	93	86	47	15	8
2	4	02*VNoFirstLove	386	180	94	146	103	25	22
2	5	39*TrocTLD	372	170	96	96	55	14	10
2	6	02*ZIiTransformer	385	165	99	47	21	14	6
2	7	16*xxRayleighxx	367	165	99	219	176	48	45
2	8	89*zFMzTrongDKz	364	155	95	76	40	6	3
2	9	90*oTiÓutöoLúo	361	150	99	123	93	25	20
2	10	16*iiiiiNeverDie	366	145	96	89	41	7	2
2	11	63*oALPHAandOMEGAo	222	100	92	10	20	5	4
2	12	11*s2oPhi§ao	243	100	91	21	16	12	13
2	13	01*zZ4jZ4jn3v3rCrY	268	100	96	52	53	2	7
2	14	33*ChuonChuonChua	348	100	98	58	31	7	2
2	15	50*¢uD­¬ngTiªnSinh	339	100	96	65	35	6	3
2	16	19*z§åThÇnKinh	335	100	95	69	49	5	4
2	17	15*ZzZo0oXxX	318	100	99	59	46	5	4
2	18	91*1RauMuèng1	290	100	92	59	43	4	5
2	19	13*GiangHoTjeuTu	286	100	97	34	24	6	3
2	20	10*SkyRunner	274	100	99	110	99	3	7
2	21	68*ChÆtThÞtHeo	279	100	99	63	49	28	21
2	22	70*nhovaem	289	100	94	80	68	5	5
2	23	04*G4meOver	359	100	95	78	48	8	2
2	24	43*oOThangBOzz	324	100	96	48	29	5	4
2	25	24*Tomahawk	296	100	97	28	20	5	4
2	26	07*RatLaTuyetVoi	319	100	96	75	53	5	4
2	27	35*TLDzOnePiece	248	100	99	29	21	5	4
2	28	11*TµnChÝQu¸i§ao	130	90	90	7	33	0	9
2	29	24*ZoZNghiaHeRoZoZ	237	90	96	36	33	11	7
2	30	90*Manchesterrr	273	90	99	37	29	7	2
2	31	15*oOoMaDaoZzZ	347	90	95	86	67	27	20
2	32	08*TheSilentOfLove	329	90	93	56	40	5	4
2	33	03*1PMrMapLaoDai	350	90	98	98	68	27	22
